step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,2.06641,0.6,,
2,2.06641,0.6,,
3,2.06012,0.6,,
4,2.03998,0.6,,
5,0.33541,0.875,,
6,0.3343,0.875,,
7,0.31324,0.875,,
8,1.2234,0.69231,,
9,1.20458,0.69231,,
10,1.17701,0.69231,,
11,0.2209,1.0,,
12,0.19813,1.0,,
13,1.59394,0.65,,
14,0.95979,0.69231,,
15,1.49978,0.65,,
16,0.14321,1.0,,
17,1.3832,0.7,,
18,0.83106,0.76923,,
19,1.29194,0.7,,
20,0.73375,0.76923,,
21,1.19811,0.7,,
22,1.16488,0.7,,
23,1.11718,0.75,,
24,1.0741,0.75,,
25,0.5599,0.84615,,
26,0.10623,1.0,,
27,0.1024,1.0,,
28,0.09289,1.0,,
29,0.4764,0.92308,,
30,0.45153,0.92308,,
31,0.42323,0.92308,,
32,0.80171,0.8,,
33,0.36969,0.92308,,
34,0.75187,0.8,,
35,0.31389,0.92308,,
36,0.06139,1.0,,
37,0.6797,0.8,,
38,0.05602,1.0,,
39,0.63177,0.8,,
40,0.04999,1.0,,
41,0.21668,0.92308,,
42,0.03976,1.0,,
43,0.53096,0.85,,
44,0.1863,1.0,,
45,0.03261,1.0,,
46,0.48152,0.85,,
47,0.14194,1.0,,
48,0.463,0.85,,
49,0.02273,1.0,,
50,0.431,0.95,,
51,0.10485,1.0,,
52,0.38623,0.95,,
53,0.0895,1.0,,
54,0.34694,0.95,,
55,0.01606,1.0,,
56,0.01458,1.0,,
57,0.01333,1.0,,
58,0.25541,0.95,,
59,0.05646,1.0,,
60,0.22936,0.95,,
61,0.20661,0.95,,
62,0.04015,1.0,,
63,0.00682,1.0,,
64,0.16027,0.95,,
65,0.00553,1.0,,
66,0.02649,1.0,,
67,0.1335,1.0,,
68,0.019,1.0,,
69,0.10931,1.0,,
70,0.0027,1.0,,
71,0.01128,1.0,,
72,0.01,1.0,,
73,0.06994,1.0,,
74,0.00648,1.0,,
75,0.00164,1.0,,
76,0.00133,1.0,,
77,0.04011,1.0,,
78,0.00085,1.0,,
79,0.03072,1.0,,
80,0.02501,1.0,,
81,0.0004,1.0,,
82,0.00032,1.0,,
83,0.00025,1.0,,
84,0.00068,1.0,,
85,0.00901,1.0,,
86,0.00037,1.0,,
87,0.00026,1.0,,
88,0.00681,1.0,,
89,0.00377,1.0,,
90,0.003,1.0,,
91,0.00011,1.0,,
92,2e-05,1.0,,
93,2e-05,1.0,,
94,5e-05,1.0,,
95,0.00064,1.0,,
96,0.00047,1.0,,
97,2e-05,1.0,,
98,0.00023,1.0,,
99,1e-05,1.0,,
100,0.0001,1.0,,
